2019-11-15 10:49:05 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 424 flow
2019-11-15 10:49:05 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 426 flow
2019-11-15 10:49:05 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 427 flow
2019-11-15 10:49:05 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 429 flow
2019-11-15 10:49:34 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 448 flow
2019-11-15 10:49:34 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 458 flow
2019-11-15 10:49:34 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 458 flow
2019-11-15 10:49:34 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 458 flow
2019-11-15 10:49:34 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 461 flow
2019-11-15 10:49:34 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 482 flow
2019-11-15 10:49:34 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 482 flow
2019-11-15 10:49:40 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 488 flow
2019-11-15 10:50:04 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 515 flow
2019-11-15 10:50:04 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 521 flow
2019-11-15 10:50:13 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 542 flow
2019-11-15 10:50:18 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 617 flow
2019-11-15 10:50:20 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 617 flow
2019-11-15 10:50:20 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 617 flow
2019-11-15 10:50:35 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 637 flow
2019-11-15 10:50:35 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 638 flow
2019-11-15 10:50:35 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 637 flow
2019-11-15 10:50:35 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 636 flow
2019-11-15 10:51:05 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 645 flow
2019-11-15 10:51:05 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 689 flow
2019-11-15 10:51:05 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 703 flow
2019-11-15 10:51:05 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 703 flow
2019-11-15 10:51:20 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 711 flow
2019-11-15 10:51:20 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 711 flow
2019-11-15 10:51:20 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 711 flow
2019-11-15 10:51:20 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 722 flow
2019-11-15 10:51:20 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 722 flow
2019-11-15 10:51:20 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 726 flow
2019-11-15 10:51:26 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 733 flow
2019-11-15 10:51:26 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 733 flow
2019-11-15 10:51:26 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 742 flow
2019-11-15 10:51:26 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 742 flow
2019-11-15 10:51:26 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 749 flow
2019-11-15 10:51:26 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 750 flow
