,Source.Port,Destination.Port,Fwd.PSH.Flags,Min.Packet.Length,Max.Packet.Length,Packet.Length.Mean,Packet.Length.Std,scale_Flow.Duration,scale_Total.Fwd.Packets,scale_Total.Backward.Packets,scale_Total.Length.of.Fwd.Packets,scale_Total.Length.of.Bwd.Packets,scale_Fwd.Packet.Length.Mean,scale_Fwd.Packet.Length.Std,scale_Bwd.Packet.Length.Mean,scale_Bwd.Packet.Length.Std,scale_Flow.Bytes.s,scale_Flow.Packets.s,scale_Flow.IAT.Mean,scale_Flow.IAT.Std,scale_Fwd.IAT.Total,scale_Fwd.IAT.Mean,scale_Fwd.IAT.Std,scale_Bwd.IAT.Total,scale_Bwd.IAT.Mean,scale_Bwd.IAT.Std,scale_Fwd.Header.Length,scale_Bwd.Header.Length,scale_Fwd.Packets.s,scale_Bwd.Packets.s,scale_Packet.Length.Variance,scale_SYN.Flag.Count,scale_PSH.Flag.Count,scale_ACK.Flag.Count,scale_URG.Flag.Count,scale_Down.Up.Ratio,scale_Average.Packet.Size,scale_Avg.Fwd.Segment.Size,scale_Avg.Bwd.Segment.Size,scale_Fwd.Avg.Packets.Bulk,scale_Subflow.Fwd.Packets,scale_Subflow.Fwd.Bytes,scale_Subflow.Bwd.Packets,scale_Subflow.Bwd.Bytes,scale_Init_Win_bytes_forward,scale_Init_Win_bytes_backward,scale_act_data_pkt_fwd,scale_min_seg_size_forward,scale_Active.Mean,scale_Active.Std,scale_Idle.Mean,scale_Idle.Std,ApplicationName
1755,443,52849,0,31.0,31.0,31.0,0.0,2587.8441082224977,13.37173421106768,0.0,9.97910084091877,0.16768746584876237,839.9333055439766,0.0,1345.1268357810416,0.0,0.00980845346259022,0.02612720982044414,2587.8567887243544,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.951459398625009,4.844961240310077,0.02721054831557287,0.02612721448783157,0.0,0.0,90.02770083102493,9.814283557300318,0.0,13000.0,1207.4544582933845,839.9333055439766,1345.1268357810416,0.0,0.0,508.0771235018239,0.0,881.5551537070525,0.0,62.4847412109375,27.11722987067167,0.0,0.0,0.0,0.0,0.0,HTTP_PROXY
1756,45830,443,0,16.0,689.0,117.51111111111112,212.81966568202785,64999.826124950734,240.69121579921824,193.82156488549617,1440.209585879696,4.294962834965075,6734.519012551526,10268.064741543329,1325.1001335113485,1395.377309522559,0.03318033016361077,0.022750064891847027,1511.630212221251,4371.2277947769335,64930.233904865294,4203.332578877998,5232.2480074802215,64999.82612495363,3465.0896708427226,6191.033245643036,57.25050767010006,50.3875968992248,0.019500057362668743,0.02708341571205025,1017.5846088001205,0.0,0.0,0.0,0.0,13000.0,3120.7327348266954,6734.519012551526,1325.1001335113485,0.0,0.0,3421.0526315789475,0.0,1057.866184448463,0.0,0.0,488.1101376720901,0.0,0.0,0.0,64999.38926666614,0.0020155091585173754,HTTP_PROXY
1757,0,0,0,0.0,0.0,0.0,0.0,64459.43005517185,2660.9751080024685,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1081585307792709,323.9172432507761,745.3156518395673,64333.03576217334,357.5728723133613,725.1967086294654,0.0,0.0,0.0,0.0,0.0,0.21739131713533572,9.084416028203339e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64999.38994061683,0.0019828563319771457,HTTP_PROXY
1758,50428,135,0,0.0,116.0,23.2,51.87677707799512,30702.778199120487,40.11520263320304,0.0,37.34115153376056,0.0,1047.658746700014,2340.719733066708,0.0,0.0,0.0015467760457845774,0.003503652160136708,10234.308825611857,26707.554213748434,30702.702277471057,16894.382144354684,31759.414751676115,0.0,0.0,0.0,23.85437819587503,7.751937984496124,0.006880486548490018,0.0012101612731374686,60.46345923715059,16250.0,45.013850415512465,14.721425335950476,0.0,0.0,753.0361137743689,1047.6587467000136,0.0,0.0,0.0,982.2824387701929,0.0,0.0,0.0,8125.9918212890625,27.11722987067167,0.0,0.0,0.0,32499.696167324895,64999.41518770335,HTTP_PROXY
1759,50424,135,0,0.0,156.0,45.33333333333333,71.36011958136467,30800.21539339436,53.48693684427072,0.0,87.55856221709372,0.0,1842.434347644852,2803.0127446678853,0.0,0.0,0.0036154492869382294,0.0046322611222946826,7700.090766303804,23201.43078260166,30799.648533026182,11298.485011216138,26012.161889996576,0.0,0.0,0.0,31.805837594500037,7.751937984496124,0.009144959961079049,0.0012029057471229663,114.40846389146132,16250.0,90.02770083102493,19.628567114600635,0.0,0.0,1412.5918823905401,1842.434347644852,0.0,0.0,0.0,1829.077644606566,0.0,0.0,0.0,8125.9918212890625,54.23445974134334,0.0,0.0,0.0,43332.92744119591,53071.80025114337,HTTP_PROXY
1760,137,137,0,50.0,50.0,50.0,0.0,3188.686945127968,80.23040526640608,0.0,96.57194362179455,0.27046365459477806,1354.731137974156,0.0,2169.559412550067,0.0,0.044936904457871685,0.07620813800709701,531.4495255133738,449.8183194811556,2047.952340747012,450.760185801542,7.79986140081997,0.0,0.0,0.0,19.083502556700022,1.937984496124031,0.13249967257292453,0.02099994484895822,0.0,0.0,0.0,0.0,0.0,0.0,1483.8150025110717,1354.731137974156,2169.559412550067,0.0,0.0,1422.615945805107,0.0,411.3924050632911,0.0,0.0,162.70337922403002,0.0,0.0,0.0,64999.36250984215,9.792590774370767e-05,HTTP_PROXY
1761,5353,5353,0,31.0,31.0,31.0,0.0,2376.6747567245147,147.0890763217445,0.0,109.77010925010647,0.16768746584876237,839.9333055439766,0.0,1345.1268357810416,0.0,0.06407964948845146,0.17668601420796626,216.0614153728818,605.7844947782368,2376.338382709579,261.51944789076225,610.1008600184131,0.0,0.0,0.0,34.98642135395004,1.937984496124031,0.3259104753552425,0.02854489124484812,0.0,0.0,0.0,0.0,0.0,0.0,872.0504421007778,839.9333055439766,1345.1268357810416,0.0,0.0,948.4106305367379,0.0,117.54068716094032,0.0,0.0,298.2895285773884,0.0,0.0,0.0,64999.362425479376,7.697107019893462e-05,HTTP
1762,5353,5353,0,41.0,53.0,46.33333333333334,6.32455532033676,2376.477048335164,93.60213947747377,0.0,107.83867037767058,0.22178019676771799,1296.6712320609777,224.18124587662763,1779.038718291055,0.0,0.06477406633391276,0.11743942270156846,339.49745615705245,720.588488828069,2376.1016708018956,435.82232900959485,728.0016668100905,0.0,0.0,0.0,22.264086316150028,1.937984496124031,0.20741482943093348,0.02854735613129921,0.8986839957959366,0.0,0.0,0.0,0.0,0.0,1353.5174976030683,1296.6712320609777,1779.038718291055,0.0,0.0,1388.7441375716521,0.0,293.8517179023508,0.0,0.0,189.8206090947017,0.0,0.0,0.0,64999.362445468265,8.70449684409856e-05,HTTP_PROXY
1763,137,137,0,50.0,50.0,50.0,0.0,15089.29277529962,66.8586710553384,0.0,80.47661968482879,0.27046365459477806,1354.731137974156,0.0,2169.559412550067,0.0,0.008139532796661238,0.012916657694951596,3017.872475972334,8799.348826439667,14683.164340781546,4039.7582470053153,9552.092770110272,0.0,0.0,0.0,15.902918797250019,1.937984496124031,0.023333327350428885,0.003583331266612773,0.0,0.0,0.0,0.0,0.0,0.0,1514.727815063386,1354.731137974156,2169.559412550067,0.0,0.0,1388.7441375716521,0.0,470.1627486437613,0.0,0.0,135.58614935335837,0.0,0.0,0.0,64999.20586500473,0.0008388529080463654,DNS
1764,443,52849,0,31.0,31.0,31.0,0.0,11137.269988893164,13.37173421106768,0.0,9.97910084091877,0.16768746584876237,839.9333055439766,0.0,1345.1268357810416,0.0,0.002279082457915894,0.005239277007729739,11137.324561798978,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.951459398625009,4.844961240310077,0.00632261585099248,0.005239281675118673,0.0,0.0,90.02770083102493,9.814283557300318,0.0,13000.0,1207.4544582933845,839.9333055439766,1345.1268357810416,0.0,0.0,508.0771235018239,0.0,881.5551537070525,0.0,62.4847412109375,27.11722987067167,0.0,0.0,0.0,0.0,0.0,HTTP_PROXY
1765,443,52836,0,0.0,58.0,38.66666666666667,33.48631561299829,0.004875001381250391,13.37173421106768,0.0,0.0,0.31373783932994254,0.0,0.0,2516.6889185580776,0.0,3985.2008456659614,11818.18093181359,0.004875025268880976,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.951459398625009,4.844961240310077,11818.18181818182,11818.180931817404,25.19310801547941,0.0,45.013850415512465,9.814283557300318,0.0,13000.0,1506.0722275487378,0.0,2516.6889185580776,0.0,0.0,0.0,0.0,1704.3399638336348,0.0,64.4683837890625,0.0,0.0,0.0,0.0,0.0,0.0,HTTP
1766,443,52839,0,0.0,31.0,20.666666666666664,17.8978583448784,1.169458664679955,13.37173421106768,0.0,0.0,0.16768746584876237,0.0,0.0,1345.1268357810416,0.0,10.842310299925742,60.156252231008736,1.1694643950571142,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.951459398625009,4.844961240310077,60.15733456732994,60.1562522356718,7.19696099966579,0.0,45.013850415512465,9.814283557300318,0.0,13000.0,804.9696388622564,0.0,1345.1268357810416,0.0,0.0,0.0,0.0,881.5551537070525,0.0,71.4111328125,0.0,0.0,0.0,0.0,0.0,0.0,HTTP_PROXY
1767,443,52836,0,0.0,58.0,19.33333333333333,33.48631561299829,162.5525877232332,13.37173421106768,0.0,18.67057576688028,0.0,1571.4881200500208,0.0,0.0,0.0,0.14607582598517682,0.43210704877900263,162.55338423504162,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.951459398625009,4.844961240310077,0.43319038050776576,0.43210705344636086,25.19310801547941,0.0,45.013850415512465,9.814283557300318,0.0,13000.0,753.0361137743689,1571.4881200500208,0.0,0.0,0.0,982.2824387701929,0.0,0.0,0.0,64.4683837890625,27.11722987067167,0.0,0.0,0.0,0.0,0.0,HTTP_PROXY
1768,443,52839,0,0.0,31.0,10.333333333333334,17.8978583448784,170.92621509576094,13.37173421106768,0.0,9.97910084091877,0.0,839.9333055439766,0.0,0.0,0.0,0.07425016180270991,0.41088530759709124,170.92705263855618,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.951459398625009,4.844961240310077,0.41196863967955183,0.4108853122644509,7.19696099966579,0.0,45.013850415512465,9.814283557300318,0.0,13000.0,402.4848194311282,839.9333055439766,0.0,0.0,0.0,508.0771235018239,0.0,0.0,0.0,71.4111328125,27.11722987067167,0.0,0.0,0.0,0.0,0.0,HTTP_PROXY
1769,443,52836,0,58.0,58.0,58.0,0.0,623.9443851175757,13.37173421106768,0.0,18.67057576688028,0.31373783932994254,1571.4881200500208,0.0,2516.6889185580776,0.0,0.07611293924610678,0.1117737797455143,623.94744246091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.951459398625009,4.844961240310077,0.11285711681319283,0.11177378441289557,0.0,0.0,90.02770083102493,9.814283557300318,0.0,13000.0,2259.1083413231067,1571.4881200500208,2516.6889185580776,0.0,0.0,982.2824387701929,0.0,1704.3399638336348,0.0,64.4683837890625,27.11722987067167,0.0,0.0,0.0,0.0,0.0,HTTP_PROXY
1770,443,52839,0,31.0,31.0,31.0,0.0,722.163204612908,13.37173421106768,0.0,9.97910084091877,0.16768746584876237,839.9333055439766,0.0,1345.1268357810416,0.0,0.03514817826555968,0.09642451205837427,722.1667432309523,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.951459398625009,4.844961240310077,0.09750784938187523,0.09642451672575664,0.0,0.0,90.02770083102493,9.814283557300318,0.0,13000.0,1207.4544582933845,839.9333055439766,1345.1268357810416,0.0,0.0,508.0771235018239,0.0,881.5551537070525,0.0,71.4111328125,27.11722987067167,0.0,0.0,0.0,0.0,0.0,HTTP
