Flow.ID,Source.IP,Source.Port,Destination.IP,Destination.Port,Protocol,Timestamp,Flow.Duration,Total.Fwd.Packets,Total.Backward.Packets,Total.Length.of.Fwd.Packets,Total.Length.of.Bwd.Packets,Fwd.Packet.Length.Max,Fwd.Packet.Length.Min,Fwd.Packet.Length.Mean,Fwd.Packet.Length.Std,Bwd.Packet.Length.Max,Bwd.Packet.Length.Min,Bwd.Packet.Length.Mean,Bwd.Packet.Length.Std,Flow.Bytes.s,Flow.Packets.s,Flow.IAT.Mean,Flow.IAT.Std,Flow.IAT.Max,Flow.IAT.Min,Fwd.IAT.Total,Fwd.IAT.Mean,Fwd.IAT.Std,Fwd.IAT.Max,Fwd.IAT.Min,Bwd.IAT.Total,Bwd.IAT.Mean,Bwd.IAT.Std,Bwd.IAT.Max,Bwd.IAT.Min,Fwd.PSH.Flags,Bwd.PSH.Flags,Fwd.URG.Flags,Bwd.URG.Flags,Fwd.Header.Length,Bwd.Header.Length,Fwd.Packets.s,Bwd.Packets.s,Min.Packet.Length,Max.Packet.Length,Packet.Length.Mean,Packet.Length.Std,Packet.Length.Variance,FIN.Flag.Count,SYN.Flag.Count,RST.Flag.Count,PSH.Flag.Count,ACK.Flag.Count,URG.Flag.Count,CWE.Flag.Count,ECE.Flag.Count,Down.Up.Ratio,Average.Packet.Size,Avg.Fwd.Segment.Size,Avg.Bwd.Segment.Size,Fwd.Avg.Bytes.Bulk,Fwd.Avg.Packets.Bulk,Fwd.Avg.Bulk.Rate,Bwd.Avg.Bytes.Bulk,Bwd.Avg.Packets.Bulk,Bwd.Avg.Bulk.Rate,Subflow.Fwd.Packets,Subflow.Fwd.Bytes,Subflow.Bwd.Packets,Subflow.Bwd.Bytes,Init_Win_bytes_forward,Init_Win_bytes_backward,act_data_pkt_fwd,min_seg_size_forward,Active.Mean,Active.Std,Active.Max,Active.Min,Idle.Mean,Idle.Std,Idle.Max,Idle.Min,Label
192.168.14.155-52.84.227.84-49508-443-6,192.168.14.155,49508,52.84.227.84,443,6,02/12/2019 09:36:21 AM,625,2,1,31.0,46.0,31.0,0.0,15.5,21.920310216782973,46.0,46.0,46.0,0.0,123200.0,4800.0,312.5,409.414826307011,602.0,23.0,23.0,23.0,0.0,23.0,23.0,0,0,0,0,0,0,1,0,0,64,32,3200.0,1600.0,0.0,46.0,30.75,21.68524844220144,470.25,1,0,0,2,3,0,0,0,0.0,41.0,15.5,46.0,0,0,0,0,0,0,0,10,0,15,-1,501,1,0,0,0,0,0,0,0,0,0,No Label
192.168.14.155-52.84.227.84-49508-443-6,52.84.227.84,443,192.168.14.155,49508,6,02/12/2019 09:36:21 AM,56,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35714.28571428572,56.0,0.0,56.0,56.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,17857.14285714286,17857.14285714286,0.0,0.0,0.0,0.0,0.0,1,0,0,0,2,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,-1,216,0,0,0,0,0,0,0,0,0,0,No Label
162.125.248.1-192.168.14.155-443-53634-6,192.168.14.155,53634,162.125.248.1,443,6,02/12/2019 09:36:25 AM,150,2,1,31.0,46.0,31.0,0.0,15.5,21.920310216782973,46.0,46.0,46.0,0.0,513333.3333333334,20000.0,75.0,97.58073580374356,144.0,6.0,6.0,6.0,0.0,6.0,6.0,0,0,0,0,0,0,1,0,0,64,32,13333.333333333334,6666.666666666667,0.0,46.0,30.75,21.68524844220144,470.25,1,0,0,2,3,0,0,0,0.0,41.0,15.5,46.0,0,0,0,0,0,0,0,10,0,15,-1,501,1,0,0,0,0,0,0,0,0,0,No Label
162.125.248.1-192.168.14.155-443-53634-6,162.125.248.1,443,192.168.14.155,53634,6,02/12/2019 09:36:25 AM,1912,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1046.0251046025105,1912.0,0.0,1912.0,1912.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,523.0125523012553,523.0125523012553,0.0,0.0,0.0,0.0,0.0,1,0,0,0,2,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,-1,65,0,0,0,0,0,0,0,0,0,0,No Label
192.168.14.155-209.85.229.247-41092-443-6,192.168.14.155,41092,209.85.229.247,443,6,02/12/2019 09:35:48 AM,38003202,1381,1973,2444.0,2737461.0,1257.0,0.0,1.769732078204202,46.50613778099592,1752.0,0.0,1387.4612265585386,101.90309371673878,72096.68806328478,88.25572118896717,11334.089472114523,298547.2056914467,1.0124539E7,2.0,2.782293E7,20161.543478260875,389896.2346469764,1.0368007E7,674.0,3.8003202E7,19271.40060851927,396016.1884590726,1.0367974E7,270.0,0,1,0,0,70264,63136,36.33904322062125,51.91667796834593,0.0,1752.0,817.0169895678096,687.1071755781242,472116.2707309472,1,0,0,26,3354,0,0,0,1.0,817.2605843768634,1.7697320782041999,1387.4612265585404,0,0,0,0,985,415125,0,0,0,816,-1,320,2,0,0,0,0,0,1.5747914052864878E15,2.7208250063441016E13,1.575261375991425E15,9442499.0,No Label
192.168.14.155-209.85.229.247-41092-443-6,192.168.14.155,41092,209.85.229.247,443,6,02/12/2019 09:36:26 AM,13,1,1,0.0,31.0,0.0,0.0,0.0,0.0,31.0,31.0,31.0,0.0,2384615.384615385,153846.15384615384,13.0,0.0,13.0,13.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,32,32,76923.07692307692,76923.07692307692,0.0,31.0,20.666666666666664,17.8978583448784,320.33333333333337,1,0,0,1,2,0,0,0,1.0,31.0,0.0,31.0,0,0,0,0,0,0,0,0,0,15,-1,14516,0,0,0,0,0,0,0,0,0,0,No Label
151.101.8.157-192.168.14.155-443-44904-6,192.168.14.155,44904,151.101.8.157,443,6,02/12/2019 09:36:26 AM,493,2,1,31.0,46.0,31.0,0.0,15.5,21.920310216782973,46.0,46.0,46.0,0.0,156186.61257606492,6085.1926977687635,246.5,314.66251762801363,469.0,24.0,24.0,24.0,0.0,24.0,24.0,0,0,0,0,0,0,1,0,0,64,32,4056.795131845842,2028.397565922921,0.0,46.0,30.75,21.68524844220144,470.25,1,0,0,2,3,0,0,0,0.0,41.0,15.5,46.0,0,0,0,0,0,0,0,10,0,15,-1,501,1,0,0,0,0,0,0,0,0,0,No Label
151.101.8.157-192.168.14.155-443-44904-6,151.101.8.157,443,192.168.14.155,44904,6,02/12/2019 09:36:26 AM,606,2,2,31.0,0.0,31.0,0.0,15.5,21.920310216782973,0.0,0.0,0.0,0.0,51155.11551155116,6600.660066006601,202.0,327.38203982503376,580.0,9.0,589.0,589.0,0.0,589.0,589.0,26.0,26.0,0.0,26.0,26.0,0,0,0,0,64,52,3300.3300330033003,3300.3300330033003,0.0,31.0,6.2,13.863621460498697,192.20000000000002,1,0,1,1,3,0,0,0,1.0,7.75,15.5,0.0,0,0,0,0,0,0,0,7,0,0,-1,0,1,0,0,0,0,0,1.575261386596755E15,0.0,1.575261386596755E15,1.575261386596755E15,No Label
192.168.14.155-216.58.207.102-43864-443-6,192.168.14.155,43864,216.58.207.102,443,6,02/12/2019 09:36:27 AM,439,2,1,24.0,39.0,24.0,0.0,12.0,16.97056274847714,39.0,39.0,39.0,0.0,143507.97266514806,6833.7129840546695,219.5,277.8929650063132,416.0,23.0,23.0,23.0,0.0,23.0,23.0,0,0,0,0,0,0,1,0,0,64,32,4555.808656036446,2277.904328018223,0.0,39.0,25.5,18.411952639521967,339.0,1,0,0,2,3,0,0,0,0.0,34.0,12.0,39.0,0,0,0,0,0,0,0,8,0,13,-1,501,1,0,0,0,0,0,0,0,0,0,No Label
192.168.14.155-216.58.207.102-43864-443-6,216.58.207.102,443,192.168.14.155,43864,6,02/12/2019 09:36:27 AM,54,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37037.03703703704,54.0,0.0,54.0,54.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,18518.51851851852,18518.51851851852,0.0,0.0,0.0,0.0,0.0,1,0,0,0,2,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,-1,252,0,0,0,0,0,0,0,0,0,0,No Label
