Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
192.168.14.177-111.68.108.221-58636-1433-6,111.68.108.221,1433,192.168.14.177,58636,6,11/11/2019 01:53:32 PM,4,1,1,0.0,132.0,0.0,0.0,0.0,0.0,132.0,132.0,132.0,0.0,3.3E7,500000.0,4.0,0.0,4.0,4.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,20,20,250000.0,250000.0,0.0,132.0,88.0,76.2102355330306,5808.0,1,0,0,1,2,0,0,0,1.0,132.0,0.0,132.0,0,0,0,0,0,0,0,0,0,66,-1,8212,0,0,0,0,0,0,0,0,0,0,No Label
192.168.14.177-111.68.98.36-58566-1433-6,111.68.98.36,1433,192.168.14.177,58566,6,11/11/2019 01:53:32 PM,4,1,1,0.0,116.0,0.0,0.0,0.0,0.0,116.0,116.0,116.0,0.0,2.9E7,500000.0,4.0,0.0,4.0,4.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,20,20,250000.0,250000.0,0.0,116.0,77.33333333333334,66.97263122599658,4485.333333333333,1,0,0,1,2,0,0,0,1.0,116.0,0.0,116.0,0,0,0,0,0,0,0,0,0,58,-1,256,0,0,0,0,0,0,0,0,0,0,No Label
129.121.22.158-192.168.14.177-1433-59715-6,129.121.22.158,1433,192.168.14.177,59715,6,11/11/2019 01:53:36 PM,11,1,1,0.0,124.0,0.0,0.0,0.0,0.0,124.0,124.0,124.0,0.0,1.1272727272727273E7,181818.18181818182,11.0,0.0,11.0,11.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,20,20,90909.09090909091,90909.09090909091,0.0,124.0,82.66666666666666,71.5914333795136,5125.333333333334,1,0,0,1,2,0,0,0,1.0,124.0,0.0,124.0,0,0,0,0,0,0,0,0,0,62,-1,513,0,0,0,0,0,0,0,0,0,0,No Label
192.168.14.177-111.68.108.221-59936-1433-6,111.68.108.221,1433,192.168.14.177,59936,6,11/11/2019 01:53:36 PM,2,1,1,0.0,132.0,0.0,0.0,0.0,0.0,132.0,132.0,132.0,0.0,6.6E7,1000000.0,2.0,0.0,2.0,2.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,20,20,500000.0,500000.0,0.0,132.0,88.0,76.2102355330306,5808.0,1,0,0,1,2,0,0,0,1.0,132.0,0.0,132.0,0,0,0,0,0,0,0,0,0,66,-1,1025,0,0,0,0,0,0,0,0,0,0,No Label
129.121.5.132-192.168.14.177-1433-59718-6,129.121.5.132,1433,192.168.14.177,59718,6,11/11/2019 01:53:36 PM,13,1,1,0.0,124.0,0.0,0.0,0.0,0.0,124.0,124.0,124.0,0.0,9538461.53846154,153846.15384615384,13.0,0.0,13.0,13.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,20,20,76923.07692307692,76923.07692307692,0.0,124.0,82.66666666666666,71.5914333795136,5125.333333333334,1,0,0,1,2,0,0,0,1.0,124.0,0.0,124.0,0,0,0,0,0,0,0,0,0,62,-1,513,0,0,0,0,0,0,0,0,0,0,No Label
192.168.14.177-111.68.99.8-60709-1433-6,111.68.99.8,1433,192.168.14.177,60709,6,11/11/2019 01:53:38 PM,319,1,1,0.0,116.0,0.0,0.0,0.0,0.0,116.0,116.0,116.0,0.0,363636.36363636365,6269.592476489028,319.0,0.0,319.0,319.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,20,20,3134.796238244514,3134.796238244514,0.0,116.0,77.33333333333334,66.97263122599658,4485.333333333333,1,0,0,1,2,0,0,0,1.0,116.0,0.0,116.0,0,0,0,0,0,0,0,0,0,58,-1,256,0,0,0,0,0,0,0,0,0,0,No Label
192.168.14.155-216.58.207.10-33200-443-6,192.168.14.155,33200,216.58.207.10,443,6,11/11/2019 01:52:08 PM,111931396,7,5,141.0,117.0,39.0,0.0,20.142857142857142,19.574035280004406,39.0,0.0,23.4,21.361179742701477,2.3049833131715785,0.10720852619402692,1.0175581454545455E7,2.258451398112474E7,5.8052872E7,32.0,1.11875029E8,1.8645838166666664E7,2.882208980587884E7,5.8052872E7,32.0,5.8364404E7,1.4591101E7,2.916909678162412E7,5.8344745E7,37.0,0,1,0,0,224,172,0.0625383069465157,0.04467021924751122,0.0,39.0,22.846153846153847,19.230384611538387,369.8076923076924,1,0,0,7,12,0,0,0,0.0,24.75,20.142857142857142,23.4,0,0,0,0,0,0,0,11,0,9,-1,251,4,0,0,0,0,0,1.573462372889903E15,3.775193571583783E7,1.573462439982342E15,1.573462328051415E15,No Label
192.168.14.155-216.58.207.10-33200-443-6,216.58.207.10,443,192.168.14.155,33200,6,11/11/2019 01:53:59 PM,445,2,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6741.573033707866,222.5,286.37824638055173,425.0,20.0,20.0,20.0,0.0,20.0,20.0,0,0,0,0,0,0,0,0,0,64,32,4494.38202247191,2247.191011235955,0.0,0.0,0.0,0.0,0.0,1,0,0,0,3,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,-1,251,0,0,0,0,0,0,0,0,0,0,No Label
8.0.6.4-8.6.0.1-0-0-0,8.6.0.1,0,8.0.6.4,0,0,11/11/2019 01:52:01 PM,119673641,382,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.2003705811875482,313281.78272251313,268959.1767365457,1190865.0,19.0,1.18653189E8,311425.69291338575,266851.8782732093,1190865.0,19.0,0,0,0,0,0,0,0,0,0,0,0,3.192014522228834,0.008356058958714226,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,-1,-1,0,0,0,0,0,0,1.573462388945667E15,3.3854875753725775E7,1.573462440501454E15,1.573462322275252E15,No Label
136.153.35.0-0.0.215.157-0-0-0,136.153.35.0,0,0.0.215.157,0,0,11/11/2019 01:52:00 PM,119999451,120,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0083379464794386,999995.4250000004,76.93658443946013,1000217.0,999812.0,1.18999329E8,999994.361344538,76.37072061771308,1000217.0,999812.0,0,0,0,0,0,0,0,0,0,0,0,1.0000045750209308,0.008333371458507757,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,-1,-1,0,0,0,0,0,0,1.5734623808260945E15,3.4496201007800266E7,1.573462439825798E15,1.573462321826342E15,No Label
